key,0,1
8,"TEXT_KINGRA204_05292_SEQ_08",""
9,"TEXT_KINGRA204_05292_SEQ_09",""
10,"TEXT_KINGRA204_05292_SEQ_10",""
11,"TEXT_KINGRA204_05292_SEQ_11",""
12,"TEXT_KINGRA204_05292_SEQ_12",""
13,"TEXT_KINGRA204_05292_SEQ_13",""
14,"TEXT_KINGRA204_05292_SEQ_14",""
15,"TEXT_KINGRA204_05292_SEQ_15",""
16,"TEXT_KINGRA204_05292_SEQ_16",""
17,"TEXT_KINGRA204_05292_SEQ_17",""
18,"TEXT_KINGRA204_05292_SEQ_18",""
19,"TEXT_KINGRA204_05292_SEQ_19",""
20,"TEXT_KINGRA204_05292_SEQ_20",""
21,"TEXT_KINGRA204_05292_SEQ_21",""
22,"TEXT_KINGRA204_05292_SEQ_22",""
23,"TEXT_KINGRA204_05292_SEQ_23",""
24,"TEXT_KINGRA204_05292_TODO_00","Parler à Yaana, devant les Trois Queues"
25,"TEXT_KINGRA204_05292_TODO_01","Parler au chauffeur de l'Arcadion"
26,"TEXT_KINGRA204_05292_TODO_02","Parler au chauffeur de l'Arcadion"
27,"TEXT_KINGRA204_05292_TODO_03","Accomplir le raid “Poids lourds-légers CCA - match 3”"
28,"TEXT_KINGRA204_05292_TODO_04","Accomplir le raid “Poids lourds-légers CCA - match 3”"
29,"TEXT_KINGRA204_05292_TODO_05","Parler à Yaana"
30,"TEXT_KINGRA204_05292_TODO_06",""
31,"TEXT_KINGRA204_05292_TODO_07",""
32,"TEXT_KINGRA204_05292_TODO_08",""
33,"TEXT_KINGRA204_05292_TODO_09",""
34,"TEXT_KINGRA204_05292_TODO_10",""
35,"TEXT_KINGRA204_05292_TODO_11",""
36,"TEXT_KINGRA204_05292_TODO_12",""
37,"TEXT_KINGRA204_05292_TODO_13",""
38,"TEXT_KINGRA204_05292_TODO_14",""
39,"TEXT_KINGRA204_05292_TODO_15",""
40,"TEXT_KINGRA204_05292_TODO_16",""
41,"TEXT_KINGRA204_05292_TODO_17",""
42,"TEXT_KINGRA204_05292_TODO_18",""
43,"TEXT_KINGRA204_05292_TODO_19",""
44,"TEXT_KINGRA204_05292_TODO_20",""
45,"TEXT_KINGRA204_05292_TODO_21",""
46,"TEXT_KINGRA204_05292_TODO_22",""
47,"TEXT_KINGRA204_05292_TODO_23",""
48,"TEXT_KINGRA204_05292_YAANA_000_000","J'ai beau me crrreuser la tête, la seule chose qui importe maintenant, c'est de remporter la victoire<Indent/>! Retournons aux Trois Queues pour préparer ton prochain combat."
49,"TEXT_KINGRA204_05292_YAANA_000_010","Allons à l'intérieur. Je suis sûre que Neyuni sera rrravie d'apprendre que Dancing Green et Sugar Riot ont accepté d'arrêter leur carrière pour se prémunir de la maladie."
50,"TEXT_KINGRA204_05292_NEYUNI_000_100","Oh là là, c'est terrible<Indent/>! Il faut fairrre vite<Indent/>!"
51,"TEXT_KINGRA204_05292_NEYUNI_000_101","Regarrrdez donc ceci...<Indent/>!"
52,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_102","Allez<Indent/>! Filez-moi toutes les âmes de créatures que vous gardez dans ce trou<Indent/>!"
53,"TEXT_KINGRA204_05292_METEM_000_103","Mais que se passe-t-il<Indent/>!? Brute Bomber tente de s'emparer de force des âmes de réserve. Il a l'air de vouloir en utiliser plusieurs à la fois, quelle folie<Indent/>! Il risque de se transformer en une créature difforme et ne jamais reprendre son apparence d'origine<Indent/>!"
54,"TEXT_KINGRA204_05292_METEM_000_104","Brute, tu es disqualifié<Indent/>! C'est du dopage, pur et simple<Indent/>! La honte<Indent/>!"
55,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_105","Ferme-la<Indent/>! Essaie de m'arrêter et tu goûteras à mon coup de la corde à linge, le nabot<Indent/>!"
56,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_106","Ohé, le challenger sans régulateur, tu nous regardes<Indent/>? Tu vas voir, cette fois, je vais t'écraser comme un misérable insecte<Indent/>! Si t'as pas envie qu'on te traite de plus gros<If(PlayerParameter(4))>se<Else/></If> froussard<If(PlayerParameter(4))>e<Else/></If> de l'Arcadion, rejoins-moi au site de con<SoftHyphen/>struc<SoftHyphen/>tion du huitième étage pour remettre ton titre en jeu<Indent/>!"
57,"TEXT_KINGRA204_05292_YAANA_000_107","Mais quelle espèce de tarrré<Indent/>! Dire qu'on s'est donné la peine de tout lui expliquer... À quoi il joue, bon sang<Indent/>!"
58,"TEXT_KINGRA204_05292_NEYUNI_000_108","D'ailleurs, tu savais que les fameux produits “dopants” qui ont fait sa réputation étaient inoffensifs<Indent/>? En vérrrité, monsieur Bomber jouait le rôle du méchant prêt à tout pour gagner dans le but d'interagir avec le public et de capter son attention pendant le match."
59,"TEXT_KINGRA204_05292_NEYUNI_000_109","Même lorsque l'arbitre lui disait qu'il était disqualifié, la rencontre se poursuivait sans interruption, pas vrrrai<Indent/>? Par contre, s'injecter plusieurs âmes à la fois, c'est briser un interdit de l'Arcadion, et c'est in<SoftHyphen/>croya<SoftHyphen/>ble<SoftHyphen/>ment dangereux."
60,"TEXT_KINGRA204_05292_NEYUNI_000_110","Le présentateur a raison, il risque de se trrransformer pour de bon et oublier sa forme humaine... C'est sa vie qu'il met en jeu<Indent/>!"
61,"TEXT_KINGRA204_05292_NEYUNI_000_111","Une telle surcharge d'âmes de créatures finira sans doute par corrompre celle de son hôte, et fera prrrogresser rapidement la psychodiabrose jusqu'au point de non-retour."
62,"TEXT_KINGRA204_05292_METEM_000_112","D-dites... Je voulais m'assurer d'une chose<Indent/>! Malgré mes mises en garde, vous avez révélé la vérité à Brute Bomber<Indent/>!?"
63,"TEXT_KINGRA204_05292_YAANA_000_113","Oui... Je ne pouvais pas l'abandonner à son sorrrt."
64,"TEXT_KINGRA204_05292_METEM_000_114","Bien évidemment, une fois mis au parfum, il est allé confronter le pro<SoftHyphen/>prié<SoftHyphen/>taire<Indent/>! Celui-ci a démenti l'existence de la psychodiabrose, et bien sûr, Brute Bomber l'a cru sans sourciller."
65,"TEXT_KINGRA204_05292_METEM_000_115","Et ce n'est pas tout... Tu l'as sûrement compris si tu as regardé notre programme spécial, mais le patron a offert à Brute Bomber l'occasion de disputer un autre match contre toi<Indent/>!"
66,"TEXT_KINGRA204_05292_METEM_000_116","Et pour éviter la débandade de l'autre jour, il lui a suggéré d'augmenter sa force en s'injectant plusieurs âmes de monstres en même temps<Indent/>!"
67,"TEXT_KINGRA204_05292_METEM_000_117","Toute cette histoire de vol dans la réserve n'était qu'une mise en scène pour le public<Indent/>! Tout est orchestré par le patron, jusque dans les moindres détails. Avec ce match en dehors de l'arène, il espère que ton adversaire pourra se débarrasser de toi et ainsi éliminer la menace que tu représentes."
68,"TEXT_KINGRA204_05292_YAANA_000_118","Mais... c'est horrible<Indent/>! Brute Bomber est déjà atteint de psychodiabrose<Indent/>! Il ne s'en sortirrra pas indemne s'il se bat dans ces conditions<Indent/>!"
69,"TEXT_KINGRA204_05292_METEM_000_119","J'ai bien essayé de l'arrêter, moi aussi... Mais ce rustre n'a rien voulu entendre<Indent/>! Et puis, les ordres du pro<SoftHyphen/>prié<SoftHyphen/>taire sont absolus."
70,"TEXT_KINGRA204_05292_METEM_000_120","Le match aura lieu quoi qu'il arrive. Même si tu ne te présentes pas au point de rendez-vous, ou que tu abandonnes la compétition, rien ne dit que Brute Bomber ne partira pas à ta poursuite pour se venger de sa défaite."
71,"TEXT_KINGRA204_05292_METEM_000_121","Ton objectif est toujours de te hisser jusqu'au rang de “Champion céleste” et de libérer toutes les âmes dans nos réserves, n'est-ce pas<Indent/>? Alors, tu ne pourras pas éviter cette confrontation..."
72,"TEXT_KINGRA204_05292_METEM_000_122","Rends-toi devant la Société de l'Arcadion quand tu seras prêt<If(PlayerParameter(4))>e<Else/></If> à affronter ton adversaire. Un chauffeur t'y attendra pour t'emmener jusqu'au lieu du duel."
73,"TEXT_KINGRA204_05292_YAANA_000_123","Je viens avec toi<Indent/>! C'est moi qui ai choisi de dirrre la vérité à Brute Bomber, donc je suis en partie responsable de cette situation. Pas question de rester ici à me tourner les pouces<Indent/>!"
74,"TEXT_KINGRA204_05292_YAANA_000_130","Dépêchons-nous, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/><Indent/>! Brute Bomber rrrisque de causer encore plus de problèmes si tu ne relèves pas rapidement son défi..."
75,"TEXT_KINGRA204_05292_METEM_000_131","Une fois que tu seras prêt<If(PlayerParameter(4))>e<Else/></If> à affronter ton adversaire, parle au chauffeur<Indent/>!"
76,"TEXT_KINGRA204_05292_ARCADIADRIVER_000_140","Je vous attendais, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Votre prochain af<SoftHyphen/>fron<SoftHyphen/>te<SoftHyphen/>ment se déroule sur le site de con<SoftHyphen/>struc<SoftHyphen/>tion du huitième étage. Je vais vous y emmener directement."
77,"TEXT_KINGRA204_05292_ARCADIADRIVER_100_141","Nous avons installé des caméras sur place pour retransmettre l'af<SoftHyphen/>fron<SoftHyphen/>te<SoftHyphen/>ment, ainsi qu'un dispositif de matérialisation de combattants pour vous. Il ne reste plus qu'à se rendre sur les lieux."
78,"TEXT_KINGRA204_05292_SYSTEM_100_141","Se rendre au site de con<SoftHyphen/>struc<SoftHyphen/>tion du huitième étage<Indent/>?"
79,"TEXT_KINGRA204_05292_ARCADIADRIVER_100_142","Je suis chargé de vous emmener sur le lieu du combat. Faites-moi signe quand vous souhaitez partir."
80,"TEXT_KINGRA204_05292_YAANA_000_300","Brute Bomber<Indent/>! T'as perrrdu la tête ou quoi<Indent/>? Arrête cette mascarade, tu risques trop gros..."
81,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_301","Hmpf<Indent/>! Tu m'prends pour un poltron ou quoi<Indent/>? Les risques, ça va de pair avec ce boulot, ma p'tite<Indent/>!"
82,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_302","T'as oublié qui j'suis<Indent/>? Brute Bomber, le Bourreau brûlant<Indent/>! Le combattant sans foi ni loi, prêt à tout pour arracher la victoire<Indent/>! "
83,"TEXT_KINGRA204_05292_BRUTEBOMBER_000_303","Je m'en suis toujours cogné, des règles<Indent/>! C'est pas en s'battant à la loyale qu'on finit champion<Indent/>!"
84,"TEXT_KINGRA204_05292_YAANA_000_304","Attends...<Indent/>!"
85,"TEXT_KINGRA204_05292_METEM_000_305","J-j-je n'arrive pas à y croire<Indent/>! Brute Bomber a commis l'irréparable<Indent/>! Il a absorbé plusieurs âmes de créatures en même temps pour se transformer en une terrible chimère<Indent/>!"
86,"TEXT_KINGRA204_05292_METEM_000_306","Cette sinistre apparition n'a plus rien d'humain... Nous sommes désormais face à... Brute Bombinator<Indent/>!"
87,"TEXT_KINGRA204_05292_METEM_000_307","Yaana, c'est trop dangereux. Il faut partir d'ici maintenant<Indent/>!"
88,"TEXT_KINGRA204_05292_YAANA_000_308","Non<Indent/>! Moi aussi, je peux..."
89,"TEXT_KINGRA204_05292_YAANA_100_308","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>..."
90,"TEXT_KINGRA204_05292_YAANA_100_309","Pardon... Tu as raison. Je t'en prie, trrrouve un moyen de le ramener parmi nous. Même si tu dois lui coller une raclée..."
91,"TEXT_KINGRA204_05292_YAANA_000_500","Oh non... C'est déjà trrrop tard..."
92,"TEXT_KINGRA204_05292_YAANA_000_501","La psychodiabrose s'est propagée bien trop vite... On ne peut plus rrrien..."
93,"TEXT_KINGRA204_05292_METEM_000_502","Le pro<SoftHyphen/>prié<SoftHyphen/>taire a ordonné de couper la retransmission juste après la fin du combat. Il ne voulait pas que le public découvre le pot aux roses..."
94,"TEXT_KINGRA204_05292_METEM_000_503","Il est toujours furieux que vous ayez informé les autres combattants à propos de la psychodiabrose. Je ferai de mon mieux pour le raisonner, mais ne comptez pas trop là-dessus..."
95,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_504","Je n'aurais jamais crrru que tu serais le premier de nous deux à partir..."
96,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_505","Ne t'en fais pas, mon vieil ami. Je te rrretrouverai bientôt..."
97,"TEXT_KINGRA204_05292_YAANA_000_506","Non... toi aussi<Indent/>?"
98,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_507","Oui, j'ai déjà ressenti les premiers symptômes depuis un moment. Je me doutais bien que ce n'était pas une simple migrrraine... Puis j'ai entendu votre con<SoftHyphen/>ver<SoftHyphen/>sa<SoftHyphen/>tion avec Brute Bomber."
99,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_508","Il n'y a aucun doute à avoirrr, je suis atteint de psychodiabrose, moi aussi."
100,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_509","Eutrope et moi, nous avons ressenti ces étranges vertiges au même moment. Peu de temps après, ta sœur disparaissait sans laisser de trace... J'ai enfin comprrris qu'elle était partie à la recherche d'un remède."
101,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_510","Mais moi, j'ai choisi d'accepter mon destin."
102,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_511","J'ai entendu dirrre que tu venais du monde extérieur, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Tu ne trouves pas ça étrange, cette manière d'utiliser les âmes pour repousser sa propre mortalité<Indent/>?"
103,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_512","Moi qui ai grandi sans régulateur, je ne comprends que trop bien ce malaise. Cette impression de mener une existence morrrne et sans risque..."
104,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_513","Les boulots que m'assignait le gouvernement étaient pénibles et sans intérrrêt, sans compter qu'il nous était impossible de sortir du dôme."
105,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_514","Mais c'est en combattant dans l'arène que je me suis senti vivant pour la prrremière fois<Indent/>! Brute Bomber était tout comme moi, et sans Howling Blade, je ne suis rien."
106,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_515","Si le prix à payer pour donner du sens à mon existence est cette maladie, alors soit. Peu importe quand mon heure viendrrra, je continuerai de me battre<Indent/>!"
107,"TEXT_KINGRA204_05292_THEHOWLINGBLADE_000_516","... Allez, viens<Indent/>!"
108,"TEXT_KINGRA204_05292_YAANA_000_517","Comment peut-il dirrre une chose pareille...<Indent/>?"
109,"TEXT_KINGRA204_05292_YAANA_000_520","Rhaaah<Indent/>! Et merrrde<Indent/>! Pourquoi on en est arrivés là<Indent/>!?"
110,"TEXT_KINGRA204_05292_YAANA_000_521","Désolée... Je sais que tu as tout donné pour arrêter Brute Bomber avant qu'il ne soit trop tarrrd. Merci pour tes efforts..."
111,"TEXT_KINGRA204_05292_YAANA_000_522","Sa dépouille a été transportée par la Société de l'Arcadion, et évidemment le grand patron a maquillé sa mort. Il a annoncé que cette défaite marquait la fin de sa carrière... comme si de rrrien n'était. Le salaud..."
112,"TEXT_KINGRA204_05292_YAANA_000_523","Ce qui signifie que les matchs de la catégorie poids lourds-légers vont bientôt rrreprendre. Heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, ils te laissent un peu de temps avant de t'opposer au champion en titre. "
113,"TEXT_KINGRA204_05292_YAANA_000_524","Mais j'y pense... où est passée Neyuni<Indent/>?"
